ItemID,UserID,Review,Timestamp
50,36,5,1/1/2021 10:07
31,13,1,1/1/2021 10:18
14,20,4,1/1/2021 10:53
41,13,5,1/1/2021 11:17
37,23,2,1/1/2021 12:31
15,38,4,1/1/2021 13:41
10,30,2,4/1/2021 9:16
34,14,2,4/1/2021 9:45
2,32,1,4/1/2021 11:40
18,18,1,4/1/2021 12:09
22,33,3,4/1/2021 13:26
3,24,3,4/1/2021 15:50
34,41,3,4/1/2021 17:39
49,35,1,5/1/2021 9:04
3,7,4,5/1/2021 9:40
14,32,4,5/1/2021 9:49
31,20,2,5/1/2021 10:24
14,45,4,5/1/2021 10:24
14,40,3,5/1/2021 10:47
47,15,1,5/1/2021 11:19
43,16,3,5/1/2021 11:54
47,8,5,5/1/2021 12:13
30,10,4,5/1/2021 12:48
34,40,3,5/1/2021 13:11
12,5,2,5/1/2021 13:43
38,39,5,5/1/2021 14:18
32,47,3,6/1/2021 11:05
23,10,2,6/1/2021 11:44
20,48,2,6/1/2021 12:01
38,27,2,6/1/2021 14:08
46,42,1,6/1/2021 14:25
40,17,1,6/1/2021 15:32
41,34,1,6/1/2021 17:56
23,24,5,7/1/2021 9:54
38,19,1,7/1/2021 10:39
37,31,1,7/1/2021 13:30
25,30,3,7/1/2021 14:11
4,7,4,7/1/2021 14:33
49,30,3,7/1/2021 14:57
43,15,4,7/1/2021 15:54
48,42,5,7/1/2021 16:11
15,40,2,7/1/2021 16:35
42,15,1,7/1/2021 16:57
46,35,2,7/1/2021 17:21
31,25,1,8/1/2021 9:44
37,18,5,11/1/2021 10:06
21,26,2,11/1/2021 10:10
7,48,5,11/1/2021 10:56
7,20,5,11/1/2021 11:08
42,50,4,11/1/2021 12:30
47,21,4,11/1/2021 13:32
4,27,1,11/1/2021 14:54
2,38,2,11/1/2021 16:02
27,18,1,11/1/2021 17:18
32,39,4,12/1/2021 17:56
15,48,3,13/1/2021 9:40
25,45,1,13/1/2021 13:56
9,32,2,13/1/2021 14:41
49,35,5,13/1/2021 14:59
46,34,5,13/1/2021 16:20
44,41,4,13/1/2021 17:05
43,3,1,13/1/2021 17:23
28,5,5,14/1/2021 9:50
47,26,4,14/1/2021 12:14
11,33,5,14/1/2021 16:27
1,19,3,14/1/2021 17:31
39,40,3,15/1/2021 9:31
14,16,4,15/1/2021 14:04
24,24,5,15/1/2021 14:21
5,41,5,15/1/2021 14:25
40,25,4,15/1/2021 16:28
27,26,2,15/1/2021 16:45
40,14,5,15/1/2021 16:49
41,18,5,18/1/2021 10:04
1,2,1,18/1/2021 10:15
48,28,2,18/1/2021 10:36
28,30,5,18/1/2021 10:43
2,30,1,18/1/2021 11:04
46,50,2,18/1/2021 12:28
20,38,1,18/1/2021 13:28
32,30,4,19/1/2021 9:04
